339|2|  
454|4|  
143|5|3.73 
50|5|5 
386|5|4.17 
133|5|3.22 
367|5|4.25 
587|5|5 
299|5|4.81 
52|5|2.55 
420|5|1.2 
144|6|  
465|6|  
61|6|5 
498|6|1.06 
176|6|3.38 
60|6|  
506|6|  
100|7|5 
220|7|5 
358|7|3.86 
210|7|3.72 
36|8|1.36 
99|10|  
38|10|  
375|10|3.33 
579|10|5 
471|10|  
216|10|  
595|11|5 
236|12|  
493|13|  
557|13|  
438|13|  
313|14|  
65|14|  
454|14|  
267|15|  
359|16|  
154|16|  
539|16|  
426|16|  
382|16|  
217|16|  
316|16|  
349|16|  
147|16|  
67|16|  
462|17|  
5|17|  
196|17|  
127|17|  
55|18|  
506|18|  
97|18|  
25|18|  
167|18|  
48|18|  
573|19|  
379|20|  
415|20|  
171|20|  
199|20|  
71|20|  
400|20|  
508|22|  
431|22|  
65|22|  
592|22|  
25|22|  
219|22|  
133|23|3.12 
159|23|3.33 
210|23|5 
577|23|  
211|23|  
147|23|5 
53|23|4.89 
490|24|  
161|24|  
596|24|5 
389|24|5 
275|24|  
610|24|  
318|24|2.26 
417|24|  
398|24|  
132|24|1.73 
488|25|1.47 
585|25|  
250|25|5 
13|25|1.57 
590|25|  
264|25|5 
354|25|  
78|26|4.9 
175|26|5 
461|26|3.52 
145|26|5 
574|26|  
425|26|  
579|27|  
403|27|5 
512|27|5 
343|27|  
588|27|4.99 
421|27|  
161|28|2.54 
132|28|2.96 
553|28|1.83 
448|28|  
240|28|  
268|28|  
507|29|5 
43|29|  
305|29|4.04 
225|29|2.95 
587|29|  
612|29|  
365|29|2.82 
50|29|1.06 
167|29|5 
5|29|  
4|30|3.16 
184|30|4.0 
359|30|  
537|30|5 
596|30|4.53 
482|30|  
200|30|  
587|30|4.9 
219|31|2.29 
34|31|3.55 
46|31|1.18 
199|31|  
141|31|5 
191|32|1.01 
175|32|  
586|32|4.9 
533|32|1.74 
411|32|  
481|32|2.27 
495|32|  
272|32|2.08 
99|32|5 
31|33|  
410|33|  
301|33|  
71|33|2.61 
113|33|  
375|33|3.49 
298|33|1.32 
507|34|4.87 
2|34|  
439|34|  
270|34|2.04 
48|35|  
206|36|  
503|36|2.0 
203|36|4.21 
427|36|1.01 
602|36|  
123|36|  
30|37|  
175|37|  
319|37|3.84 
64|37|  
161|37|  
304|38|  
464|38|  
493|38|  
401|38|  
78|38|  
134|38|  
477|38|  
494|38|  
209|38|  
148|38|  
22|39|  
484|40|  
130|41|  
168|42|  
240|42|  
579|42|  
449|42|  
528|42|  
568|42|  
450|42|  
126|44|  
142|44|  
45|44|  
106|44|  
447|44|  
39|44|  
79|44|  
289|44|  
7|46|  
609|47|  
562|47|  
535|47|  
500|48|  
303|48|  
442|48|  
86|48|  
389|48|  
47|48|  
110|48|  
207|48|  
235|48|  
598|48|  
238|49|  
578|49|  
584|49|  
242|49|  
13|49|  
152|49|  
572|49|  
611|49|  
204|49|  
270|50|  
147|50|  
462|50|  
198|52|  
128|52|  
390|52|1.23 
24|52|  
79|52|  
246|52|2.55 
215|52|  
142|53|  
612|53|  
19|53|1.61 
118|54|  
140|54|1.78 
536|54|2.27 
230|54|1.93 
182|54|4.22 
580|54|  
410|54|  
414|54|  
155|55|  
479|57|4.76 
148|59|1.02 
184|59|1.43 
256|59|4.98 
595|60|  
303|61|  
527|62|3.26 
431|62|1.57 
459|62|3.5 
